Tiempo (s)	Temperatura (°C)		Voltaje HV (V)	Corriente (nA)
2408	30.2		60.02	293.73
2410	30		60.03	293.94
2412	30.1		60.02	294.27
2414	30.1		60.03	294.86
2416	30		60.02	293.55
2418	30		60.02	293.58
2420	30		60.03	293.83
2422	29.9		60.02	294.57
2424	29.9		60.03	294.36
2426	29.9		60.03	294.34
2428	29.9		60.03	293.51
2430	29.9		60.02	293.66
2432	29.9		60.03	292.64
2434	29.8		60.02	293.65
2436	29.9		60.03	292.87
2438	29.9		60.03	293.67
2440	30.1		60.02	293.53
2442	29.9		60.03	293.36
2444	29.9		60.03	292.8
2446	30		60.03	292.93
2448	30		60.03	294.09
2450	30.1		60.02	293.53
